ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
si_mn,co_na,si_mn||co_na,True,1.9768269701661905e-08,0.0326005562848934,False,,,True,3.563484894926653e-26,0.0217683197360805,2
cr_zn,nd_na,cr_zn||nd_na,True,2.004062887498748e-08,0.060056540056841,False,,,True,3.918892290887218e-35,0.052952769805812,2
si_v,co_cr,si_v||co_cr,True,2.1036200382758176e-08,0.025592638529761,True,2.028046223028072e-05,0.0149032038374117,False,,,2
co_y,nd_na,co_y||nd_na,True,2.1400543808100144e-08,0.0594966094059647,False,,,True,4.226951555434624e-37,0.0561208834747408,2
cr_ca,co_si,cr_ca||co_si,True,2.235083233970992e-08,0.0233369349391737,True,3.2289058562521574e-05,0.0122423707441733,False,,,2
si_mn,sc_ni,si_mn||sc_ni,True,1.8376791585437524e-08,0.0298747019481819,True,0.0002510657080017,0.0120999135374845,False,,,2
co_cu,si_nd,co_cu||si_nd,True,9.86172340843237e-10,0.0639239291259401,False,,,True,2.6572474490919445e-26,0.0320197624408473,2
zn_cu,nd_y,zn_cu||nd_y,True,9.90041789679241e-10,0.0678858036300462,False,,,True,1.8333289217825853e-32,0.0449668582009321,2
v_ca,si_mn,v_ca||si_mn,True,1.0001972746623956e-09,0.035874401035166,True,5.362113411635358e-06,0.0211350866661945,False,,,2
ba_ti,nd_y,ba_ti||nd_y,True,1.0120521743164307e-09,0.0654218134375075,False,,,True,1.5477779817815162e-32,0.0432076729263485,2
na_mn,cr_si,na_mn||cr_si,True,1.0411463330937166e-09,0.0406244879707084,False,,,True,2.000987112766014e-42,0.0422469672499625,2
mn_cu,si_nd,mn_cu||si_nd,True,1.0463182850509643e-09,0.0645738832721725,False,,,True,1.3052182892589167e-31,0.0403729280072159,2
ni_cu,si_nd,ni_cu||si_nd,True,1.098249014722957e-09,0.0643396817058108,False,,,True,3.781590452752214e-27,0.033310175428889,2
ti_mn,si_v,ti_mn||si_v,True,1.1188975791621195e-09,0.031077849224512,True,1.0060346240190072e-05,0.015777717685193,False,,,2
mn_cu,sc_nd,mn_cu||sc_nd,True,1.138811794592864e-09,0.0556852283650805,False,,,True,8.71278868557443e-27,0.0287955475119383,2
ti_cu,sc_nd,ti_cu||sc_nd,True,3.994059385990932e-09,0.0526107408665097,True,0.0004156043775574,0.0163598313739129,False,,,2
nd_y,co_ba,nd_y||co_ba,True,1.1842494627835043e-09,0.0654470116963237,False,,,True,1.107661864690552e-31,0.0424564810699069,2
ba_mn,nd_y,ba_mn||nd_y,True,1.2067181132913275e-09,0.066578543654873,False,,,True,2.750113801725613e-33,0.046166725602447,2
si_ca,si_nd,si_ca||si_nd,True,1.2552753359862636e-09,0.0636519547588345,False,,,True,8.560359572782127e-28,0.0342733939158547,2
nd_na,cr_sc,nd_na||cr_sc,True,1.2738515258786598e-09,0.0697920792976254,False,,,True,1.2952296827359164e-37,0.057264527928547,2
nd_ti,cr_si,nd_ti||cr_si,True,1.2763480041455404e-09,0.0574304107371604,False,,,True,1.5787536956331306e-25,0.0277312155308684,2
v_ti,cr_si,v_ti||cr_si,True,1.2771827360215832e-09,0.0323459476358715,True,5.864240960967778e-05,0.014106306467065,False,,,2
si_nd,sc_k,si_nd||sc_k,True,1.300429817049472e-09,0.0632031707590723,False,,,True,2.5364637641707456e-25,0.0303786428285482,2
si_v,nd_na,si_v||nd_na,True,1.3032340728043894e-09,0.0698118432982062,False,,,True,1.8911334653968063e-36,0.0547050377114375,2
v_ca,y_mn,v_ca||y_mn,True,1.3098753073759842e-09,0.0455763099863382,True,0.0001255883401788,0.0188830456259081,False,,,2
nd_y,sc_ba,nd_y||sc_ba,True,1.153361533370852e-09,0.0667578016089645,False,,,True,1.160561318751931e-31,0.0427078148605819,2
co_ni,si_nd,co_ni||si_nd,True,5.72744856346879e-10,0.0667318920431325,False,,,True,6.601524167336708e-27,0.0328581919743214,2
si_mn,nd_ti,si_mn||nd_ti,True,6.12670022574993e-10,0.0594917720913651,False,,,True,2.0420104923249247e-26,0.0289388548072096,2
nd_y,ba_v,nd_y||ba_v,True,6.95574613622438e-10,0.0670439241773416,False,,,True,6.451176764128836e-32,0.0428376085850856,2
v_ca,cr_si,v_ca||cr_si,True,7.100327269151258e-10,0.0357346364244077,True,2.358115900286716e-06,0.02210918657072,False,,,2
co_na,si_nd,co_na||si_nd,True,7.246411819153093e-10,0.0654041175833448,False,,,True,1.0306380876316331e-31,0.0396089024958423,2
si_ni,cr_sc,si_ni||cr_sc,True,7.281752026991513e-10,0.0281436727289901,True,6.276483150800298e-06,0.0136227350013573,False,,,2
si_mn,nd_na,si_mn||nd_na,True,7.39324977057776e-10,0.0713525411690205,False,,,True,9.444297300023224e-41,0.0619652284788643,2
y_mn,na_mn,y_mn||na_mn,True,7.41403500436535e-10,0.0521242264130394,False,,,True,2.0248756206738402e-35,0.0424409554736131,2
sc_ca,si_nd,sc_ca||si_nd,True,7.440239243403606e-10,0.0657129860435444,False,,,True,9.795706059004608e-26,0.0310421353014261,2
nd_y,k_y,nd_y||k_y,True,9.768802156395883e-10,0.0668807956811607,False,,,True,4.7591444681054045e-35,0.0497124559323555,2
mn_ca,si_v,mn_ca||si_v,True,8.040348920757272e-10,0.0336479676902922,True,3.152958214987914e-06,0.0189535678420906,False,,,2
nd_y,cr_ba,nd_y||cr_ba,True,8.383371858323955e-10,0.0657202964405997,False,,,True,1.316601089206877e-34,0.0463288762801089,2
co_v,si_nd,co_v||si_nd,True,8.47253522365806e-10,0.0645127204990458,False,,,True,3.11785633447566e-26,0.0316075494815536,2
cr_v,si_nd,cr_v||si_nd,True,8.477387107409956e-10,0.0651104176061688,False,,,True,1.0257365647842007e-27,0.0341399196624892,2
