ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
cr_mn,sc_na,cr_mn||sc_na,False,,,True,7.554461362927387e-05,0.0183553027800327,True,3.3023549884689674e-27,0.0257596905537236,2
ba_ca,sc_v,ba_ca||sc_v,False,,,True,7.565089663373001e-05,0.022675614119008,False,,,1
k_ti,si_v,k_ti||si_v,False,,,True,7.641975339885903e-05,0.0137814518653952,False,,,1
co_ca,ti_mn,co_ca||ti_mn,False,,,True,7.664596592537657e-05,0.0127630273813373,False,,,1
v_mn,sc_v,v_mn||sc_v,False,,,True,7.71469342838942e-05,0.0196649623396079,False,,,1
si_cu,cr_ca,si_cu||cr_ca,False,,,True,7.74917307190594e-05,0.0148251885627357,False,,,1
co_ti,si_na,co_ti||si_na,False,,,True,7.759844262912725e-05,0.0156301331964094,False,,,1
si_cu,si_ni,si_cu||si_ni,False,,,True,7.793319982874603e-05,0.0148381420458145,False,,,1
k_na,co_sc,k_na||co_sc,False,,,True,7.801291049918048e-05,0.0222891524641214,False,,,1
co_cu,si_v,co_cu||si_v,False,,,True,7.83596968738945e-05,0.0142554156879802,False,,,1
v_ca,zn_ni,v_ca||zn_ni,False,,,True,7.855577417129376e-05,0.0174757091782156,False,,,1
co_ca,na_y,co_ca||na_y,False,,,True,7.980951939744878e-05,0.0181111565238109,False,,,1
ni_ca,si_na,ni_ca||si_na,False,,,True,8.007148581212503e-05,0.0160747058115942,False,,,1
si_cu,sc_ti,si_cu||sc_ti,False,,,True,8.031075698969376e-05,0.0141603900083319,False,,,1
ti_cu,v_ti,ti_cu||v_ti,False,,,True,8.054347020313515e-05,0.016164075190589,False,,,1
v_ca,co_na,v_ca||co_na,False,,,True,8.084270433290638e-05,0.0168249568844296,False,,,1
cr_ca,si_na,cr_ca||si_na,False,,,True,8.175018145065926e-05,0.0156652320736682,False,,,1
v_ca,si_ba,v_ca||si_ba,False,,,True,8.214566053566664e-05,0.0186656913391622,False,,,1
si_ti,co_sc,si_ti||co_sc,False,,,True,8.244671755291328e-05,0.0134732541915417,False,,,1
ni_ti,cr_sc,ni_ti||cr_sc,False,,,True,8.26348605671047e-05,0.0099779609086523,False,,,1
co_ca,k_na,co_ca||k_na,False,,,True,8.296118489147055e-05,0.0215727051435976,False,,,1
k_v,si_na,k_v||si_na,False,,,True,8.348433902702115e-05,0.0205823244890733,False,,,1
v_zn,si_v,v_zn||si_v,False,,,True,8.379163801137566e-05,0.0204856696889769,False,,,1
v_mn,sc_na,v_mn||sc_na,False,,,True,8.434817951665768e-05,0.0195359507434826,True,1.9595687259840128e-27,0.0277462689544098,2
cr_cu,sc_na,cr_cu||sc_na,False,,,True,8.510593152204634e-05,0.0208916244195583,True,1.5480376902450664e-30,0.0335548135607284,2
v_ni,si_na,v_ni||si_na,False,,,True,8.554956620694066e-05,0.0154263426098877,False,,,1
si_cu,sc_mn,si_cu||sc_mn,False,,,True,8.564589440892767e-05,0.0158014717129764,False,,,1
ti_ca,co_ca,ti_ca||co_ca,False,,,True,8.596534082981558e-05,0.0128724640061136,False,,,1
ni_mn,co_sc,ni_mn||co_sc,False,,,True,8.745203396104181e-05,0.0131239887727158,False,,,1
ti_ca,sc_ni,ti_ca||sc_ni,False,,,True,8.765038135112208e-05,0.0112574833419626,False,,,1
si_cu,na_y,si_cu||na_y,False,,,True,8.857354998383425e-05,0.0189434848409786,False,,,1
co_mn,sc_na,co_mn||sc_na,False,,,True,8.921047362543753e-05,0.0183643713611395,True,5.416745395873589e-31,0.0301332069636101,2
v_zn,sc_v,v_zn||sc_v,False,,,True,8.929949817066933e-05,0.0231419076448701,False,,,1
co_ca,k_v,co_ca||k_v,False,,,True,8.95069073583002e-05,0.0201024237332065,False,,,1
na_ca,sc_ti,na_ca||sc_ti,False,,,True,8.961829269955626e-05,0.0182600890595925,True,5.932155816109136e-29,0.0269499712150628,2
v_ni,co_si,v_ni||co_si,False,,,True,8.983545399729746e-05,0.0103843404894615,False,,,1
v_ca,cr_na,v_ca||cr_na,False,,,True,9.097823215845316e-05,0.0185268590368868,True,1.774147659310952e-36,0.0353101262796153,2
v_ti,v_ni,v_ti||v_ni,False,,,True,9.113668981840856e-05,0.0132666909072933,False,,,1
sc_na,sc_k,sc_na||sc_k,False,,,True,9.132338718981636e-05,0.0181067563392936,True,1.9613926872435823e-25,0.0240645067187897,2
cr_ni,co_sc,cr_ni||co_sc,False,,,True,9.255387125203508e-05,0.0131487060838885,False,,,1
na_zn,si_v,na_zn||si_v,False,,,True,9.318141354938144e-05,0.0198573132140234,False,,,1
k_ca,sc_v,k_ca||sc_v,False,,,True,9.42732629391111e-05,0.0177250858218131,False,,,1
si_ca,sc_na,si_ca||sc_na,False,,,True,9.530229391874732e-05,0.0185636679443289,True,7.924030679811742e-30,0.0293461421422626,2
co_cu,sc_na,co_cu||sc_na,False,,,True,9.549914288278724e-05,0.0191094836794989,True,2.387898333111789e-25,0.0254979183991901,2
ni_ca,co_ca,ni_ca||co_ca,False,,,True,9.558633217574611e-05,0.0150275232934375,False,,,1
v_cu,si_v,v_cu||si_v,False,,,True,9.573412942928076e-05,0.0154937425431781,False,,,1
co_ti,sc_ni,co_ti||sc_ni,False,,,True,9.77181315598878e-05,0.0120231567753128,False,,,1
na_ca,v_ni,na_ca||v_ni,False,,,True,9.931653259235591e-05,0.0179370790113079,True,3.1973461103254463e-28,0.0260330450099847,2
si_cu,ti_ca,si_cu||ti_ca,False,,,True,9.957073978833512e-05,0.013817772696973,False,,,1
sc_ti,si_ni,sc_ti||si_ni,False,,,True,9.971072298521374e-05,0.0092612442923078,False,,,1
sc_v,sc_ba,sc_v||sc_ba,False,,,True,9.972188734354143e-05,0.0222306364156412,False,,,1
v_ca,y_ti,v_ca||y_ti,False,,,True,9.978401497921328e-05,0.0169227511645055,False,,,1
sc_cu,v_ti,sc_cu||v_ti,False,,,True,0.0001003424263683,0.0188444399627687,False,,,1
mn_cu,sc_na,mn_cu||sc_na,False,,,True,0.000101861303992,0.0196998977505637,True,1.0695994422778106e-32,0.0347983745514916,2
co_ti,co_si,co_ti||co_si,False,,,True,0.0001022002212522,0.0106862073841069,False,,,1
sc_v,si_ba,sc_v||si_ba,False,,,True,0.0001026699588424,0.0190200742089911,False,,,1
cr_v,co_sc,cr_v||co_sc,False,,,True,0.0001029136306498,0.0155367134163997,False,,,1
v_ca,zn_ti,v_ca||zn_ti,False,,,True,0.0001046941541334,0.0157760916225502,False,,,1
ti_cu,na_ca,ti_cu||na_ca,False,,,True,0.0001047641351366,0.020027261801133,True,2.7161891530883347e-27,0.0285282439571254,2
na_ca,k_v,na_ca||k_v,False,,,True,0.0001047862598996,0.0218663400923426,False,,,1
co_y,sc_na,co_y||sc_na,False,,,True,0.0001060481222281,0.0198264959517343,False,,,1
si_cu,k_na,si_cu||k_na,False,,,True,0.0001067914995656,0.0212771850706718,False,,,1
y_cu,v_ca,y_cu||v_ca,False,,,True,0.0001079254560024,0.0196375008151363,False,,,1
y_ti,sc_v,y_ti||sc_v,False,,,True,0.0001079375000009,0.0178956641717293,False,,,1
na_ca,co_ti,na_ca||co_ti,False,,,True,0.0001097136852573,0.0179816822561674,True,1.0087475044499036e-28,0.0269432584055218,2
zn_ni,sc_v,zn_ni||sc_v,False,,,True,0.0001098298973082,0.0185971519022205,False,,,1
na_ca,cr_k,na_ca||cr_k,False,,,True,0.0001107004140106,0.0181360703081272,True,8.68340987199302e-27,0.0253188766307948,2
k_cu,sc_na,k_cu||sc_na,False,,,True,0.0001108832243325,0.0239652265467237,False,,,1
sc_ca,co_sc,sc_ca||co_sc,False,,,True,0.0001116374702224,0.0136867639610814,False,,,1
zn_mn,co_sc,zn_mn||co_sc,False,,,True,0.0001121852940764,0.0167598900196524,False,,,1
v_ti,cr_k,v_ti||cr_k,False,,,True,0.0001126617045176,0.0134255102003023,False,,,1
co_ca,co_k,co_ca||co_k,False,,,True,0.0001147545200575,0.0173470895704818,False,,,1
v_y,si_na,v_y||si_na,False,,,True,0.000114845392348,0.0181304529924116,False,,,1
sc_zn,sc_v,sc_zn||sc_v,False,,,True,0.000115124855243,0.0171191149891915,False,,,1
na_ca,si_ni,na_ca||si_ni,False,,,True,0.0001155024794381,0.0174970934791628,True,1.2069246590232458e-30,0.0282798821510158,2
co_ca,na_ni,co_ca||na_ni,False,,,True,0.0001159378962232,0.0141139301503415,True,2.3205721552086385e-27,0.0206287302011392,2
ca_cu,si_ni,ca_cu||si_ni,False,,,True,0.0001160080748212,0.0166550530090956,False,,,1
sc_ni,co_ni,sc_ni||co_ni,False,,,True,0.0001163361571102,0.0106926662151472,False,,,1
ni_ca,sc_ni,ni_ca||sc_ni,False,,,True,0.0001174475801812,0.0131388856577769,False,,,1
zn_ni,si_v,zn_ni||si_v,False,,,True,0.0001176077252444,0.0155002192642451,False,,,1
v_ti,na_y,v_ti||na_y,False,,,True,0.0001178970350676,0.017196206237961,False,,,1
co_ca,ni_mn,co_ca||ni_mn,False,,,True,0.0001183969545295,0.0121940694676663,False,,,1
cr_ti,sc_ni,cr_ti||sc_ni,False,,,True,0.0001190354951588,0.0107156486033935,False,,,1
k_v,sc_v,k_v||sc_v,False,,,True,0.0001192445757775,0.023781023800363,False,,,1
zn_ti,sc_v,zn_ti||sc_v,False,,,True,0.0001192799063918,0.0172680557175889,False,,,1
mn_ca,sc_ni,mn_ca||sc_ni,False,,,True,0.0001197830530485,0.0127219703463096,False,,,1
ni_y,sc_na,ni_y||sc_na,False,,,True,0.0001199348310346,0.0186369262709945,True,2.1215478183919028e-27,0.0275626826318893,2
cr_ca,co_ti,cr_ca||co_ti,False,,,True,0.0001199806895431,0.0096622501245026,False,,,1
v_mn,si_v,v_mn||si_v,False,,,True,0.0001203126102265,0.0151297092999355,False,,,1
sc_mn,sc_ni,sc_mn||sc_ni,False,,,True,0.000120421703412,0.0146664601828488,False,,,1
k_cu,si_v,k_cu||si_v,False,,,True,0.0001206535516615,0.0203338939915886,False,,,1
co_ni,cr_sc,co_ni||cr_sc,False,,,True,0.0001212133217328,0.0091598597010644,False,,,1
v_ca,ba_ca,v_ca||ba_ca,False,,,True,0.0001215942962875,0.0212683592696779,False,,,1
ca_cu,v_ni,ca_cu||v_ni,False,,,True,0.0001218093778012,0.0166570151263988,False,,,1
ca_cu,na_y,ca_cu||na_y,False,,,True,0.0001220532989629,0.0194839227777527,False,,,1
zn_ni,sc_na,zn_ni||sc_na,False,,,True,0.0001223122247287,0.0188119660133574,False,,,1
ca_cu,cr_sc,ca_cu||cr_sc,False,,,True,0.0001224941237517,0.016733413481474,False,,,1
co_ca,cr_mn,co_ca||cr_mn,False,,,True,0.0001228514865421,0.0113570555707481,False,,,1
ni_ca,v_ni,ni_ca||v_ni,False,,,True,0.0001233463814353,0.0109782174473166,False,,,1
ti_cu,co_sc,ti_cu||co_sc,False,,,True,0.0001239392003995,0.0159907311914081,False,,,1
cr_ca,v_ni,cr_ca||v_ni,False,,,True,0.0001242091560043,0.0096309012280324,False,,,1
ca_cu,k_na,ca_cu||k_na,False,,,True,0.0001260095659139,0.022710221104982,False,,,1
ca_cu,sc_ni,ca_cu||sc_ni,False,,,True,0.0001264876155363,0.0177625669206915,False,,,1
na_zn,co_sc,na_zn||co_sc,False,,,True,0.0001266447606423,0.0195005445334144,False,,,1
v_ca,sc_y,v_ca||sc_y,False,,,True,0.000127311364134,0.017537910035484,False,,,1
ti_ca,co_si,ti_ca||co_si,False,,,True,0.0001276223316955,0.0095842419940814,False,,,1
si_cu,ni_ti,si_cu||ni_ti,False,,,True,0.0001276719833482,0.0133535471139613,False,,,1
sc_ni,cr_k,sc_ni||cr_k,False,,,True,0.0001278515352899,0.01335049413978,False,,,1
si_cu,na_ni,si_cu||na_ni,False,,,True,0.0001282991347091,0.0153517032550244,False,,,1
k_cu,sc_v,k_cu||sc_v,False,,,True,0.0001292152069247,0.0231156280562424,False,,,1
sc_ba,sc_na,sc_ba||sc_na,False,,,True,0.0001296954366814,0.0219571358735633,False,,,1
sc_mn,cr_sc,sc_mn||cr_sc,False,,,True,0.0001316758344525,0.0139919742713481,False,,,1
sc_cu,co_si,sc_cu||co_si,False,,,True,0.000131776865533,0.016930164923486,False,,,1
k_v,co_sc,k_v||co_sc,False,,,True,0.0001318893719345,0.0201997451862307,False,,,1
k_v,co_si,k_v||co_si,False,,,True,0.0001320894376113,0.0181528988743163,False,,,1
na_mn,sc_v,na_mn||sc_v,False,,,True,0.0001323567014835,0.0188723360789445,True,1.0339870910519267e-31,0.033072318198742,2
k_mn,co_sc,k_mn||co_sc,False,,,True,0.000132973679852,0.0157519170216879,False,,,1
v_ca,sc_zn,v_ca||sc_zn,False,,,True,0.0001331633756924,0.0152313983140544,False,,,1
ca_cu,na_ti,ca_cu||na_ti,False,,,True,0.0001343951345006,0.0191943288779512,True,2.2357631979313275e-25,0.0262708019991818,2
ti_mn,v_ti,ti_mn||v_ti,False,,,True,0.0001347546182255,0.0116024796254283,False,,,1
sc_ti,cr_sc,sc_ti||cr_sc,False,,,True,0.0001353901672001,0.0105375239357831,False,,,1
co_ca,cr_v,co_ca||cr_v,False,,,True,0.0001360659752833,0.0139463464006695,False,,,1
co_ti,si_ni,co_ti||si_ni,False,,,True,0.0001370214792388,0.0090118781620038,False,,,1
si_cu,mn_ca,si_cu||mn_ca,False,,,True,0.0001371295973056,0.0146888537455608,False,,,1
co_ca,si_ti,co_ca||si_ti,False,,,True,0.0001378839336283,0.0117011301932166,False,,,1
co_ca,k_ni,co_ca||k_ni,False,,,True,0.0001380475394298,0.0157538474420443,False,,,1
si_cu,co_k,si_cu||co_k,False,,,True,0.0001381570162668,0.0167116061458601,False,,,1
y_ca,sc_v,y_ca||sc_v,False,,,True,0.0001385981541787,0.0184457662357728,False,,,1
sc_cu,co_sc,sc_cu||co_sc,False,,,True,0.0001409411781338,0.0192812091378048,False,,,1
ba_ca,sc_na,ba_ca||sc_na,False,,,True,0.0001418742684624,0.0217404943380732,False,,,1
co_ca,v_y,co_ca||v_y,False,,,True,0.0001424830862545,0.0163261635923019,False,,,1
k_cu,si_na,k_cu||si_na,False,,,True,0.000142531609938,0.0206252833062258,False,,,1
ca_cu,si_cu,ca_cu||si_cu,False,,,True,0.0001427338847948,0.0196288919944641,False,,,1
na_cu,sc_v,na_cu||sc_v,False,,,True,0.0001430310144857,0.0173311360812678,False,,,1
v_ni,si_ni,v_ni||si_ni,False,,,True,0.0001439553588508,0.0088894809547129,False,,,1
ni_cu,co_ca,ni_cu||co_ca,False,,,True,0.0001444417354447,0.0130404312935905,False,,,1
sc_na,sc_si,sc_na||sc_si,False,,,True,0.0001456828147362,0.0187518479866595,True,3.194053126422808e-25,0.0265127455050301,2
zn_cu,v_ca,zn_cu||v_ca,False,,,True,0.0001461039379324,0.0197844697656457,False,,,1
cr_zn,co_sc,cr_zn||co_sc,False,,,True,0.0001468747887053,0.0152562572729089,False,,,1
si_cu,cr_v,si_cu||cr_v,False,,,True,0.000148448414653,0.0145774228213409,False,,,1
v_zn,co_sc,v_zn||co_sc,False,,,True,0.0001502960187284,0.0190131880577649,False,,,1
sc_mn,v_ni,sc_mn||v_ni,False,,,True,0.0001520791878285,0.0120608930843582,False,,,1
sc_ti,sc_ni,sc_ti||sc_ni,False,,,True,0.0001538221568324,0.0119298802025846,False,,,1
ni_ti,v_ti,ni_ti||v_ti,False,,,True,0.0001544121168015,0.0116303284722569,False,,,1
co_k,co_sc,co_k||co_sc,False,,,True,0.0001546751288054,0.0175891273205604,False,,,1
k_na,co_si,k_na||co_si,False,,,True,0.0001547180070037,0.0192102269338911,False,,,1
y_cu,sc_na,y_cu||sc_na,False,,,True,0.0001550377032736,0.0205288257204516,False,,,1
k_ni,co_sc,k_ni||co_sc,False,,,True,0.0001566764401386,0.0162442909929121,False,,,1
mn_ca,v_ni,mn_ca||v_ni,False,,,True,0.0001568847133906,0.0109040787609049,False,,,1
v_zn,si_na,v_zn||si_na,False,,,True,0.0001570300284153,0.0186854115617234,False,,,1
sc_mn,co_ti,sc_mn||co_ti,False,,,True,0.0001587035291847,0.0119983032109653,False,,,1
k_ti,co_sc,k_ti||co_sc,False,,,True,0.0001587399120569,0.0137088335184523,False,,,1
ni_ti,co_si,ni_ti||co_si,False,,,True,0.0001590637040001,0.0091532193885234,False,,,1
si_cu,k_v,si_cu||k_v,False,,,True,0.0001598672326665,0.0186699076625832,False,,,1
k_mn,si_na,k_mn||si_na,False,,,True,0.0001611151311469,0.0160000060226573,False,,,1
k_cu,na_ca,k_cu||na_ca,False,,,True,0.0001614534503395,0.022074288028573,False,,,1
v_ca,k_si,v_ca||k_si,False,,,True,0.0001625935563892,0.017356389168527,False,,,1
si_cu,co_ni,si_cu||co_ni,False,,,True,0.0001646315463684,0.0128322249090859,False,,,1
v_y,co_sc,v_y||co_sc,False,,,True,0.0001653655715445,0.0166321306155383,False,,,1
cr_k,cr_sc,cr_k||cr_sc,False,,,True,0.0001656048585219,0.0121139629108353,False,,,1
na_cu,v_ca,na_cu||v_ca,False,,,True,0.0001659072636517,0.0159898201806698,False,,,1
v_ti,si_ti,v_ti||si_ti,False,,,True,0.0001661543721821,0.0113789199938802,False,,,1
co_mn,co_sc,co_mn||co_sc,False,,,True,0.0001680006178056,0.0130474367353612,False,,,1
co_sc,co_cr,co_sc||co_cr,False,,,True,0.0001684469125758,0.0133335001439032,False,,,1
si_ni,co_k,si_ni||co_k,False,,,True,0.0001690972409388,0.0146870330663747,False,,,1
co_k,cr_sc,co_k||cr_sc,False,,,True,0.0001696683459658,0.0150081258278238,False,,,1
na_ca,cr_ca,na_ca||cr_ca,False,,,True,0.0001697516523285,0.0170605537639054,True,3.5341653944170064e-30,0.0286275785761864,2
na_ca,na_y,na_ca||na_y,False,,,True,0.0001698311742998,0.0201047384023718,False,,,1
co_ca,v_zn,co_ca||v_zn,False,,,True,0.0001707003688697,0.0176656662803943,False,,,1
cr_v,cr_sc,cr_v||cr_sc,False,,,True,0.0001711120621978,0.0125510522944295,False,,,1
ni_cu,si_na,ni_cu||si_na,False,,,True,0.0001717723197598,0.0150376782032083,False,,,1
y_cu,sc_v,y_cu||sc_v,False,,,True,0.0001720509444622,0.0193979555186788,False,,,1
zn_ti,sc_na,zn_ti||sc_na,False,,,True,0.0001722852692914,0.0174620546446784,False,,,1
ca_cu,k_v,ca_cu||k_v,False,,,True,0.0001735702424567,0.020394604579651,False,,,1
